Date,Site,Department,RiskScore,IncidentFlag,Temperature,Humidity,EquipmentAge
01-01-2024 00:00,Site B,Manufacturing,87,0,17.6,55,8
01-01-2024 01:00,Site B,Logistics,63,0,27.3,38.5,3
01-01-2024 02:00,Site A,Safety,14,0,24.2,60.9,6
01-01-2024 02:00,Site C,Logistics,29,0,27.5,79.8,9
01-01-2024 09:00,Site A,Logistics,73,1,21.2,51.4,1
01-01-2024 13:00,Site C,Logistics,76,0,27,36.1,7
01-01-2024 17:00,Site A,Safety,96,0,35.2,89.2,6
01-01-2024 17:00,Site C,Manufacturing,12,0,29.6,58.2,4
01-01-2024 17:00,Site D,Manufacturing,63,0,33,87.1,8
01-01-2024 18:00,Site D,Safety,52,0,19.1,45,5
01-01-2024 20:00,Site C,Logistics,39,0,27.9,50.2,5
02-01-2024 03:00,Site D,Manufacturing,95,0,39.1,67,6
02-01-2024 03:00,Site D,Safety,98,0,26.7,41.6,3
02-01-2024 05:00,Site D,Logistics,56,0,38.6,82.6,8
02-01-2024 05:00,Site C,Safety,67,0,19.7,34.3,4
02-01-2024 05:00,Site A,Manufacturing,27,1,16.6,64.7,8
02-01-2024 09:00,Site B,Manufacturing,4,0,16.8,82.3,9
02-01-2024 09:00,Site B,Safety,25,0,39.3,71.6,3
02-01-2024 09:00,Site D,Safety,17,0,15,34.4,1
02-01-2024 12:00,Site A,Logistics,81,0,15.3,59.2,2
02-01-2024 16:00,Site A,Logistics,78,0,18.2,59.6,3
02-01-2024 18:00,Site B,Logistics,54,0,20.3,32.6,10
02-01-2024 22:00,Site B,Logistics,53,0,18.3,78.7,5
03-01-2024 01:00,Site D,Logistics,8,0,19.5,74.9,8
03-01-2024 02:00,Site A,Safety,15,0,18.2,84.4,1
03-01-2024 02:00,Site C,Manufacturing,62,0,34.5,68.2,8
03-01-2024 12:00,Site B,Safety,9,1,23.9,75.5,4
03-01-2024 12:00,Site D,Manufacturing,44,0,39.9,83.3,2
03-01-2024 12:00,Site D,Manufacturing,38,0,32.4,69.8,10
03-01-2024 13:00,Site C,Logistics,59,0,39.6,52.7,6
03-01-2024 15:00,Site C,Manufacturing,19,1,36.7,70.8,1
03-01-2024 16:00,Site B,Manufacturing,28,0,21.1,80.7,10
03-01-2024 18:00,Site C,Safety,17,0,26.1,68.6,3
03-01-2024 21:00,Site B,Manufacturing,12,1,38.2,71.6,7
03-01-2024 22:00,Site B,Safety,93,0,30,71.4,10
03-01-2024 22:00,Site D,Manufacturing,44,0,34.4,75.9,9
03-01-2024 23:00,Site B,Manufacturing,65,0,28.5,79.7,5
03-01-2024 23:00,Site A,Logistics,41,0,32,57.8,7
04-01-2024 00:00,Site B,Safety,79,0,17.9,81.7,9
04-01-2024 07:00,Site D,Manufacturing,89,0,24.5,71,9
